	question	class
557	Lze získat  patentovat vědecké teorie?	29
558	Můžu získat  patentovat vědecké teorie?	29
559	Mohu získat  patentovat vědecké teorie?	29
560	Může se získat  patentovat vědecké teorie?	29
561	Je možné  mít  patentovat vědecké teorie?	29
562	Lze  mít  patentovat vědecké teorie?	29
563	Můžu  mít  patentovat vědecké teorie?	29
564	Mohu  mít  patentovat vědecké teorie?	29
565	Může se mít  patentovat vědecké teorie?	29
566	Je možné  dostat patentovat vědecké teorie?	29
567	Lze  dostat patentovat vědecké teorie?	29
568	Můžu  dostat patentovat vědecké teorie?	29
569	Mohu  dostat patentovat vědecké teorie?	29
570	Může se dostat patentovat vědecké teorie?	29
571	Na jaké vynálezy jsou udělovány patenty ?	29
572	Na jaké vynálezy je možné udělit patent ?	29
573	Na jaké vynálezy může být udělen patent?	29
574	Jaké jsou zásady pro udělování patentů?	29
575	Je možné získat patent na estetický výtvor?	29
576	Lze získat patent na estetický výtvor?	29
577	Můžu získat patent na estetický výtvor?	29
578	Mohu získat patent na estetický výtvor?	29
579	Může se získat patent na estetický výtvor?	29
580	Je možné  mít patent na estetický výtvor?	29
581	Lze  mít patent na estetický výtvor?	29
582	Můžu  mít patent na estetický výtvor?	29
583	Mohu  mít patent na estetický výtvor?	29
584	Může se mít patent na estetický výtvor?	29
585	Je možné  dostat patent na estetický výtvor?	29
586	Lze  dostat patent na estetický výtvor?	29
587	Můžu  dostat patent na estetický výtvor?	29
588	Mohu  dostat patent na estetický výtvor?	29
589	Může se dostat patent na estetický výtvor?	29
590	Je možné získat  patentovat estetický výtvor?	29
591	Lze získat  patentovat estetický výtvor?	29
592	Můžu získat  patentovat estetický výtvor?	29
593	Mohu získat  patentovat estetický výtvor?	29
594	Může se získat  patentovat estetický výtvor?	29
595	Je možné  mít  patentovat estetický výtvor?	29
596	Lze  mít  patentovat estetický výtvor?	29
597	Můžu  mít  patentovat estetický výtvor?	29
598	Mohu  mít  patentovat estetický výtvor?	29
599	Může se mít  patentovat estetický výtvor?	29
600	Je možné  dostat patentovat estetický výtvor?	29
601	Lze  dostat patentovat estetický výtvor?	29
602	Můžu  dostat patentovat estetický výtvor?	29
603	Mohu  dostat patentovat estetický výtvor?	29
604	Může se dostat patentovat estetický výtvor?	29
605	Je možné získat patent na novou odrůdu rostliny?	29
606	Lze získat patent na novou odrůdu rostliny?	29
607	Můžu získat patent na novou odrůdu rostliny?	29
608	Mohu získat patent na novou odrůdu rostliny?	29
609	Může se získat patent na novou odrůdu rostliny?	29
610	Je možné  mít patent na novou odrůdu rostliny?	29
611	Lze  mít patent na novou odrůdu rostliny?	29
612	Můžu  mít patent na novou odrůdu rostliny?	29
613	Mohu  mít patent na novou odrůdu rostliny?	29
614	Může se mít patent na novou odrůdu rostliny?	29
615	Je možné  dostat patent na novou odrůdu rostliny?	29
616	Lze  dostat patent na novou odrůdu rostliny?	29
617	Můžu  dostat patent na novou odrůdu rostliny?	29
618	Mohu  dostat patent na novou odrůdu rostliny?	29
619	Může se dostat patent na novou odrůdu rostliny?	29
620	Je možné získat  patentovat novou odrůdu rostliny?	29
621	Lze získat  patentovat novou odrůdu rostliny?	29
622	Můžu získat  patentovat novou odrůdu rostliny?	29
623	Mohu získat  patentovat novou odrůdu rostliny?	29
624	Může se získat  patentovat novou odrůdu rostliny?	29
625	Je možné  mít  patentovat novou odrůdu rostliny?	29
626	Lze  mít  patentovat novou odrůdu rostliny?	29
627	Můžu  mít  patentovat novou odrůdu rostliny?	29
628	Mohu  mít  patentovat novou odrůdu rostliny?	29
629	Může se mít  patentovat novou odrůdu rostliny?	29
630	Je možné  dostat patentovat novou odrůdu rostliny?	29
631	Lze  dostat patentovat novou odrůdu rostliny?	29
632	Můžu  dostat patentovat novou odrůdu rostliny?	29
633	Mohu  dostat patentovat novou odrůdu rostliny?	29
634	Může se dostat patentovat novou odrůdu rostliny?	29
635	Je možné získat patentovat i na biotechnologické postupy a produkty?	29
636	Lze získat patentovat i na biotechnologické postupy a produkty?	29
637	Můžu získat patentovat i na biotechnologické postupy a produkty?	29
638	Mohu získat patentovat i na biotechnologické postupy a produkty?	29
639	Může se získat patentovat i na biotechnologické postupy a produkty?	29
640	Je možné  mít patentovat i na biotechnologické postupy a produkty?	29
641	Lze  mít patentovat i na biotechnologické postupy a produkty?	29
642	Můžu  mít patentovat i na biotechnologické postupy a produkty?	29
643	Mohu  mít patentovat i na biotechnologické postupy a produkty?	29
644	Může se mít patentovat i na biotechnologické postupy a produkty?	29
645	Je možné  dostat patentovat i na biotechnologické postupy a produkty?	29
646	Lze  dostat patentovat i na biotechnologické postupy a produkty?	29
647	Můžu  dostat patentovat i na biotechnologické postupy a produkty?	29
648	Mohu  dostat patentovat i na biotechnologické postupy a produkty?	29
649	Může se dostat patentovat i na biotechnologické postupy a produkty?	29
650	Je možné získat  patenty i na biotechnologické postupy a produkty?	29
651	Lze získat  patenty i na biotechnologické postupy a produkty?	29
652	Můžu získat  patenty i na biotechnologické postupy a produkty?	29
653	Mohu získat  patenty i na biotechnologické postupy a produkty?	29
654	Může se získat  patenty i na biotechnologické postupy a produkty?	29
655	Je možné  mít  patenty i na biotechnologické postupy a produkty?	29
656	Lze  mít  patenty i na biotechnologické postupy a produkty?	29
657	Můžu  mít  patenty i na biotechnologické postupy a produkty?	29
658	Mohu  mít  patenty i na biotechnologické postupy a produkty?	29
659	Může se mít  patenty i na biotechnologické postupy a produkty?	29
660	Je možné  dostat patenty i na biotechnologické postupy a produkty?	29
661	Lze  dostat patenty i na biotechnologické postupy a produkty?	29
662	Můžu  dostat patenty i na biotechnologické postupy a produkty?	29
663	Mohu  dostat patenty i na biotechnologické postupy a produkty?	29
664	Může se dostat patenty i na biotechnologické postupy a produkty?	29
665	Je možné získat  patent i na biotechnologické postupy a produkty?	29
666	Lze získat  patent i na biotechnologické postupy a produkty?	29
667	Můžu získat  patent i na biotechnologické postupy a produkty?	29
668	Mohu získat  patent i na biotechnologické postupy a produkty?	29
669	Může se získat  patent i na biotechnologické postupy a produkty?	29
670	Je možné  mít  patent i na biotechnologické postupy a produkty?	29
671	Lze  mít  patent i na biotechnologické postupy a produkty?	29
672	Můžu  mít  patent i na biotechnologické postupy a produkty?	29
673	Mohu  mít  patent i na biotechnologické postupy a produkty?	29
674	Může se mít  patent i na biotechnologické postupy a produkty?	29
675	Je možné  dostat patent i na biotechnologické postupy a produkty?	29
676	Lze  dostat patent i na biotechnologické postupy a produkty?	29
677	Můžu  dostat patent i na biotechnologické postupy a produkty?	29
678	Mohu  dostat patent i na biotechnologické postupy a produkty?	29
679	Může se dostat patent i na biotechnologické postupy a produkty?	29
680	Lze získat patent na program pro počítače?	29
681	Lze získat patent na software?	29
682	Co nelze patentovat?	29
683	Co nejde patentovat?	29
684	Co není možné patentovat?	29
685	Co nemůžu patentovat?	29
686	Je možné získat patent na léčebný postup pro zvířata?	29
687	Lze získat patent na léčebný postup pro zvířata?	29
688	Můžu získat patent na léčebný postup pro zvířata?	29
689	Mohu získat patent na léčebný postup pro zvířata?	29
690	Může se získat patent na léčebný postup pro zvířata?	29
691	Je možné  mít patent na léčebný postup pro zvířata?	29
692	Lze  mít patent na léčebný postup pro zvířata?	29
693	Můžu  mít patent na léčebný postup pro zvířata?	29
694	Mohu  mít patent na léčebný postup pro zvířata?	29
695	Může se mít patent na léčebný postup pro zvířata?	29
696	Je možné  dostat patent na léčebný postup pro zvířata?	29
697	Lze  dostat patent na léčebný postup pro zvířata?	29
698	Můžu  dostat patent na léčebný postup pro zvířata?	29
699	Mohu  dostat patent na léčebný postup pro zvířata?	29
700	Může se dostat patent na léčebný postup pro zvířata?	29
701	Je možné získat  patentovat léčebný postup pro zvířata?	29
702	Lze získat  patentovat léčebný postup pro zvířata?	29
703	Můžu získat  patentovat léčebný postup pro zvířata?	29
704	Mohu získat  patentovat léčebný postup pro zvířata?	29
705	Může se získat  patentovat léčebný postup pro zvířata?	29
706	Je možné  mít  patentovat léčebný postup pro zvířata?	29
707	Lze  mít  patentovat léčebný postup pro zvířata?	29
708	Můžu  mít  patentovat léčebný postup pro zvířata?	29
709	Mohu  mít  patentovat léčebný postup pro zvířata?	29
710	Může se mít  patentovat léčebný postup pro zvířata?	29
711	Je možné  dostat patentovat léčebný postup pro zvířata?	29
712	Lze  dostat patentovat léčebný postup pro zvířata?	29
713	Můžu  dostat patentovat léčebný postup pro zvířata?	29
714	Mohu  dostat patentovat léčebný postup pro zvířata?	29
715	Může se dostat patentovat léčebný postup pro zvířata?	29
716	ověření novosti vynálezu	30
717	novost vynálezu	30
718	jedna z podmínek patentovatelnosti	30
719	podmínka patentovatelnosti	30
720	Jak  lze provést rešerši patentů?	30
721	Kde lze provést rešerši patentů?	30
722	Jak  můžu provést rešerši patentů?	30
723	Kde můžu provést rešerši patentů?	30
724	Jak  mohu provést rešerši patentů?	30
725	Kde mohu provést rešerši patentů?	30
726	Jak  se může provést rešerši patentů?	30
727	Kde se může provést rešerši patentů?	30
728	Jak  lze  udělat rešerši patentů?	30
729	Kde lze  udělat rešerši patentů?	30
730	Jak  můžu  udělat rešerši patentů?	30
731	Kde můžu  udělat rešerši patentů?	30
732	Jak  mohu  udělat rešerši patentů?	30
733	Kde mohu  udělat rešerši patentů?	30
734	Jak  se může udělat rešerši patentů?	30
735	Kde se může udělat rešerši patentů?	30
736	Jak  lze  provedu rešerši patentů?	30
737	Kde lze  provedu rešerši patentů?	30
738	Jak  můžu  provedu rešerši patentů?	30
739	Kde můžu  provedu rešerši patentů?	30
740	Jak  mohu  provedu rešerši patentů?	30
741	Kde mohu  provedu rešerši patentů?	30
742	Jak  se může provedu rešerši patentů?	30
743	Kde se může provedu rešerši patentů?	30
744	Jak  lze  udělám rešerši patentů?	30
745	Kde lze  udělám rešerši patentů?	30
746	Jak  můžu  udělám rešerši patentů?	30
747	Kde můžu  udělám rešerši patentů?	30
748	Jak  mohu  udělám rešerši patentů?	30
749	Kde mohu  udělám rešerši patentů?	30
750	Jak  se může udělám rešerši patentů?	30
751	Kde se může udělám rešerši patentů?	30
752	odkaz pro ověření novosti vynálezu	30
753	zdroje pro ověření novosti vynálezu	30
754	zahraniční databáze pro ověření novosti vynálezu	30
755	patentová rešerše	30
756	rešerše patentu	30
757	Jak podat objednávku patentové rešerše u Úřadu?	30
758	Kde podat objednávku patentové rešerše u Úřadu?	30
759	Jak  objednat patentovou rešerši u Úřadu?	30
760	Kde objednat patentovou rešerši u Úřadu?	30
761	objednávka patentové rešerše	30
762	rešeršní služby úřadu pro vynálezy	30
763	Jaká je výše správního poplatku za podání přihlášky vynálezu ?	31
764	Jaká je výše správního poplatku za podání přihlášky patentu?	31
765	poplatek za podání přihlášky vynálezu	31
766	poplatek za podání přihlášky patentu	31
767	sleva při elektronickém podání přihlášky vynálezu	31
768	sleva při elektronickém podání přihlášky patentu	31
769	poplatky patentu v platnosti	31
770	poplatek patentu v platnosti	31
771	udržovací poplatek patentu v platnosti	31
772	poplatek za udržování patentu v platnosti	31
773	Jak je možné uhradit správní poplatek za podání přihlášky vynálezu ?	31
774	Jak lze uhradit správní poplatek za podání přihlášky vynálezu ?	31
775	Jak můžu uhradit správní poplatek za podání přihlášky vynálezu ?	31
776	Jak mohu uhradit správní poplatek za podání přihlášky vynálezu ?	31
777	Jak je možné  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
778	Jak lze  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
779	Jak můžu  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
780	Jak mohu zaplatit správní poplatek za podání přihlášky vynálezu ?	31
781	Jak je možné uhradit správní poplatek za podání přihlášky patentu?	31
782	Jak lze uhradit správní poplatek za podání přihlášky patentu?	31
783	Jak můžu uhradit správní poplatek za podání přihlášky patentu?	31
784	Jak mohu uhradit správní poplatek za podání přihlášky patentu?	31
785	Jak je možné  zaplatit správní poplatek za podání přihlášky patentu?	31
786	Jak lze  zaplatit správní poplatek za podání přihlášky patentu?	31
787	Jak můžu  zaplatit správní poplatek za podání přihlášky patentu?	31
788	Jak mohu zaplatit správní poplatek za podání přihlášky patentu?	31
789	Jaký hradí poplatek po udělení patentu?	31
790	Jaký se hradí poplatek po udělení patentu?	31
791	Který hradí poplatek po udělení patentu?	31
792	Který se hradí poplatek po udělení patentu?	31
793	Jak hradí poplatek po udělení patentu?	31
794	Jak se hradí poplatek po udělení patentu?	31
795	Jaký  platí poplatek po udělení patentu?	31
796	Jaký se  platí poplatek po udělení patentu?	31
797	Který  platí poplatek po udělení patentu?	31
798	Který se  platí poplatek po udělení patentu?	31
799	Jak  platí poplatek po udělení patentu?	31
800	Jak se platí poplatek po udělení patentu?	31
801	Jaký  mám zaplatit poplatek po udělení patentu?	31
802	Jaký se  mám zaplatit poplatek po udělení patentu?	31
803	Který  mám zaplatit poplatek po udělení patentu?	31
804	Který se  mám zaplatit poplatek po udělení patentu?	31
805	Jak  mám zaplatit poplatek po udělení patentu?	31
806	Jak se mám zaplatit poplatek po udělení patentu?	31
807	Jaký  zaplatit poplatek po udělení patentu?	31
808	Jaký se  zaplatit poplatek po udělení patentu?	31
809	Který  zaplatit poplatek po udělení patentu?	31
810	Který se  zaplatit poplatek po udělení patentu?	31
811	Jak  zaplatit poplatek po udělení patentu?	31
812	Jak se zaplatit poplatek po udělení patentu?	31
813	Jaký  uhradit poplatek po udělení patentu?	31
814	Jaký se  uhradit poplatek po udělení patentu?	31
815	Který  uhradit poplatek po udělení patentu?	31
816	Který se  uhradit poplatek po udělení patentu?	31
817	Jak  uhradit poplatek po udělení patentu?	31
818	Jak se uhradit poplatek po udělení patentu?	31
819	možnosti platby udržovacího poplatku	31
820	variabilní symbol při platbě udržovacího poplatku	31
821	informace o platbě poplatků za udělený patent	31
822	informace o platbě poplatků za udělený vynález	31
823	udržování patentu v platnosti	31
824	Jak dlouho trvá zpracování patentové rešerše?	32
825	expresní patentové rešerše	32
826	Poskytuje úřad rychlou patentovou rešerši?	32
827	provádí úřad rychlou patentovou rešerši?	32
828	delá úřad rychlou patentovou rešerši?	32
829	provádíte rychlou patentovou rešerši?	32
830	děláte rychlou patentovou rešerši?	32
831	Poskytujete rychlou patentovou rešerši?	32
832	Poskytuje úřad  expresní patentovou rešerši?	32
833	provádí úřad  expresní patentovou rešerši?	32
834	delá úřad  expresní patentovou rešerši?	32
835	provádíte  expresní patentovou rešerši?	32
836	děláte  expresní patentovou rešerši?	32
837	Poskytujete expresní patentovou rešerši?	32
838	Doba zpracování patentové rešerše	32
839	Doba zpracování rešerše patentů úřadem	32
840	Existuje způsob, jak urychlit patentovou rešerši?	32
841	Jak dlouho obvykle trvá, než obdržím výsledky patentové rešerše?	32
842	Jak dlouho obvykle trvá, než dostanu výsledky patentové rešerše?	32
843	Poskytuje úřad služby expresních patentových rešerší?	32
844	provádí úřad služby expresních patentových rešerší?	32
845	delá úřad služby expresních patentových rešerší?	32
846	provádíte služby expresních patentových rešerší?	32
847	děláte služby expresních patentových rešerší?	32
848	Poskytujete služby expresních patentových rešerší?	32
849	V čem je rozdíl mezi patentem a užitným vzorem?	33
850	Jaký je rozdíl mezi patentem a užitným vzorem?	33
851	vysvětli rozdíl mezi patentem a užitným vzorem?	33
852	pověz mi rozdíl mezi patentem a užitným vzorem?	33
853	řekni mi rozdíl mezi patentem a užitným vzorem?	33
854	řekni mi, jaký je rozdíl mezi patentem a užitným vzorem?	33
855	Jak se liší patenty a užitné vzory ?	33
856	čím se liší patenty a užitné vzory ?	33
857	Jak se liší patenty od užitných vzorů?	33
858	čím se liší patenty od užitných vzorů?	33
859	Jak se liší patent a užitný vzor ?	33
860	čím se liší patent a užitný vzor ?	33
861	Jak se liší patent od užitného vzoru?	33
862	čím se liší patent od užitného vzoru?	33
863	Co lze chránit patentem a co užitným vzorem?	33
864	Co je možné chránit patentem a co užitným vzorem?	33
865	Co se může chránit patentem a co užitným vzorem?	33
866	Mohou být ochráněny stejné věci patenty a užitnými vzory?	33
867	Co znamená, že užitný vzor je zapsán na základě registračního principu?	33
868	Co je registrační princip u užitného vzoru?	33
869	Co znamená registrační princip u užitného vzoru?	33
870	Kdy je lepší zvolit ochranu pomocí užitného vzoru?	33
871	Kdy je výhodnější zvolit ochranu pomocí užitného vzoru?	33
872	Kdy je lepší zvolit užitný vzor?	33
873	Kdy je výhodnější zvolit užitný vzor?	33
874	Kdy je vhodnější zvolit užitný vzor?	33
875	Kdy je ideální zvolit užitný vzor?	33
876	Pro co je ideální ochrana užitným vzorem?	33
877	Pro jaké objekty je ideální ochrana užitným vzorem?	33
878	Pro jaké předměty je ideální ochrana užitným vzorem?	33
879	Pro co je lepší ochrana užitným vzorem?	33
880	Pro jaké objekty je lepší ochrana užitným vzorem?	33
881	Pro jaké předměty je lepší ochrana užitným vzorem?	33
882	Pro co je vhodnější ochrana užitným vzorem?	33
883	Pro jaké objekty je vhodnější ochrana užitným vzorem?	33
884	Pro jaké předměty je vhodnější ochrana užitným vzorem?	33
885	rozdíl v nákladech na patent a užitný vzor	33
886	Jak dlouho platí patent a jak dlouho užitný vzor?	33
887	Jak dlouho může platit patent a jak dlouho užitný vzor?	33
888	Proč bych měl zvolit ochranu užitným vzorem namísto patentu?	33
889	Co je užitný vzor?	34
890	Jaké jsou výhody zápisu užitného vzoru oproti patentu?	34
891	definice užitného vzoru	34
892	Co se dá chránit užitným vzorem?	34
893	Co lze chránit užitným vzorem?	34
894	Co je možné chránit užitným vzorem?	34
895	Jsou předměty chránitelné patentem a užitným vzorem srovnatelné?	34
896	Jak dlouho trvá zápis užitného vzoru?	34
897	Za jak dlouho je užitný vzor zapsán do rejstříku?	34
898	Jsou účinky zápisu užitného vzoru stejné jako u patentu?	34
899	Jsou účinky zápisu užitného vzoru srovnatelné jako u patentu?	34
900	Jak  lze provést rešerši užitných vzorů?	35
901	Kde  lze provést rešerši užitných vzorů?	35
902	Jakým způsobem lze provést rešerši užitných vzorů?	35
903	Jak  můžu provést rešerši užitných vzorů?	35
904	Kde  můžu provést rešerši užitných vzorů?	35
905	Jakým způsobem můžu provést rešerši užitných vzorů?	35
906	Jak  mohu provést rešerši užitných vzorů?	35
907	Kde  mohu provést rešerši užitných vzorů?	35
908	Jakým způsobem mohu provést rešerši užitných vzorů?	35
909	Jak  se může provést rešerši užitných vzorů?	35
910	Kde  se může provést rešerši užitných vzorů?	35
911	Jakým způsobem se může provést rešerši užitných vzorů?	35
912	Jak  lze  udělat rešerši užitných vzorů?	35
913	Kde  lze  udělat rešerši užitných vzorů?	35
914	Jakým způsobem lze  udělat rešerši užitných vzorů?	35
915	Jak  můžu  udělat rešerši užitných vzorů?	35
916	Kde  můžu  udělat rešerši užitných vzorů?	35
917	Jakým způsobem můžu  udělat rešerši užitných vzorů?	35
918	Jak  mohu  udělat rešerši užitných vzorů?	35
919	Kde  mohu  udělat rešerši užitných vzorů?	35
920	Jakým způsobem mohu  udělat rešerši užitných vzorů?	35
921	Jak  se může udělat rešerši užitných vzorů?	35
922	Kde  se může udělat rešerši užitných vzorů?	35
923	Jakým způsobem se může udělat rešerši užitných vzorů?	35
924	Jak  lze  provedu rešerši užitných vzorů?	35
925	Kde  lze  provedu rešerši užitných vzorů?	35
926	Jakým způsobem lze  provedu rešerši užitných vzorů?	35
927	Jak  můžu  provedu rešerši užitných vzorů?	35
928	Kde  můžu  provedu rešerši užitných vzorů?	35
929	Jakým způsobem můžu  provedu rešerši užitných vzorů?	35
930	Jak  mohu  provedu rešerši užitných vzorů?	35
931	Kde  mohu  provedu rešerši užitných vzorů?	35
932	Jakým způsobem mohu  provedu rešerši užitných vzorů?	35
933	Jak  se může provedu rešerši užitných vzorů?	35
934	Kde  se může provedu rešerši užitných vzorů?	35
935	Jakým způsobem se může provedu rešerši užitných vzorů?	35
936	Jak  lze  udělám rešerši užitných vzorů?	35
937	Kde  lze  udělám rešerši užitných vzorů?	35
938	Jakým způsobem lze  udělám rešerši užitných vzorů?	35
939	Jak  můžu  udělám rešerši užitných vzorů?	35
940	Kde  můžu  udělám rešerši užitných vzorů?	35
941	Jakým způsobem můžu  udělám rešerši užitných vzorů?	35
942	Jak  mohu  udělám rešerši užitných vzorů?	35
943	Kde  mohu  udělám rešerši užitných vzorů?	35
944	Jakým způsobem mohu  udělám rešerši užitných vzorů?	35
945	Jak  se může udělám rešerši užitných vzorů?	35
946	Kde  se může udělám rešerši užitných vzorů?	35
947	Jakým způsobem se může udělám rešerši užitných vzorů?	35
948	objednávka rešerše užitných vzorů	35
949	rešerše užitných vzorů	35
950	Jaký je postup objednání rešeršních služeb pro užitné vzory Úřadu?	35
951	Jak podat objednávku rešerše užitných vzorů u Úřadu?	35
952	Kde podat objednávku rešerše užitných vzorů u Úřadu?	35
953	Jak  objednat rešerši užitných vzorů u Úřadu?	35
954	Kde objednat rešerši užitných vzorů u Úřadu?	35
955	Za jak dlouho je hotová rešerše užitných vzorů?	35
956	Jak dlouho trvá rešerše užitných vzorů?	35
957	expresní rešeršní služby užitných vzorů	35
958	8.rešeršní služby Úřadu k užitným vzorům	35
959	8.rešeršní služby Úřadu pro užitné vzory	35
960	rešerše užitných vzorů úřadem	35
961	poplatek za přihlášku užitného vzoru	36
962	poplatek za podání přihlášky užitného vzoru	36
963	Kolik stojí podání přihlášky užitného vzoru?	36
964	Kolik stojí přihláška užitného vzoru?	36
965	Kolik stojí přihlášení užitného vzoru?	36
966	sleva na správní poplatek při elektronickém podání přihlášky užitného vzoru	36
967	možnosti zaplacení správního poplatku za podání přihlášky užitného vzoru	36
968	poplatek za prodloužení platnosti zápisu užitného vzoru	36
969	poplatek za prodloužení platnosti užitného vzoru	36
970	Jak mohu prodloužit platnost zápisu užitného vzoru?	36
971	jakým způsobem mohu prodloužit platnost zápisu užitného vzoru?	36
972	Jak  můžu prodloužit platnost zápisu užitného vzoru?	36
973	jakým způsobem můžu prodloužit platnost zápisu užitného vzoru?	36
974	Jak  mám prodloužit platnost zápisu užitného vzoru?	36
975	jakým způsobem mám prodloužit platnost zápisu užitného vzoru?	36
976	Doba platnosti zápisu užitného vzoru	36
977	maximální doba platnosti zápisu užitného vzoru	36
978	obnova platnosti užitného vzoru	36
979	formulář pro obnovu platnosti užitného vzoru	36
980	formulář prodloužeí platnosti užitného vzoru	36
981	Kde se mohu podívat na souhrnnou informaci o poplatcích?	37
982	Kde najdu souhrnnou informaci o poplatcích?	37
983	přehled všech poplatků	37
984	sazebník úhrad nákladů	37
985	Kde na webu UPV jsou informace o poplatcích?	37
986	souhrn poplatků	37
987	souhrn správnch poplatků	37
988	přehled poplatků	37
989	obecně o poplatcích	37
990	ceník	37
991	Můžete mi sdělit , kde najdu přehled poplatků?	37
992	Můžete mi říct , kde najdu přehled poplatků?	37
993	Můžete mi dát odkaz, kde najdu přehled poplatků?	37
994	Jak mohu dohledat sazebník úhrad nákladů?	37
995	Kde mohu najít informace o cenách ?	37
996	Kde mohu najít informace o poplatcích?	37
997	Kde mohu najít přehled všech poplatků na webu UPV?	37
998	Kde můžu najít přehled všech poplatků na webu UPV?	37
999	Kde najdu přehled všech poplatků na webu UPV?	37
1000	Kde je přehled všech poplatků na webu UPV?	37
1001	možnosti úhrady poplatků	38
1002	možnosti úhrady poplatků obecně	38
1003	Mohu poplatky uhradit v hotovosti na pokladně Úřadu?	38
1004	Lze poplatky uhradit v hotovosti na pokladně Úřadu?	38
1005	Můžu poplatky uhradit v hotovosti na pokladně Úřadu?	38
1006	Je možné poplatky uhradit v hotovosti na pokladně Úřadu?	38
1007	Co když chci poplatky uhradit v hotovosti na pokladně Úřadu?	38
1008	Mohu poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1009	Lze poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1010	Můžu poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1011	Je možné poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1012	Co když chci poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1013	Mohu možné poplatky zaplatit bankovním převodem?	38
1014	Lze možné poplatky zaplatit bankovním převodem?	38
1015	Můžu možné poplatky zaplatit bankovním převodem?	38
1016	Je možné možné poplatky zaplatit bankovním převodem?	38
1017	Co když chci možné poplatky zaplatit bankovním převodem?	38
1018	Mohu poplatky uhradit složenkou?	38
1019	Lze poplatky uhradit složenkou?	38
1020	Můžu poplatky uhradit složenkou?	38
1021	Je možné poplatky uhradit složenkou?	38
1022	Co když chci poplatky uhradit složenkou?	38
1023	Mohu  poplatek zaplatit kolky?	38
1024	Lze  poplatek zaplatit kolky?	38
1025	Můžu  poplatek zaplatit kolky?	38
1026	Je možné  poplatek zaplatit kolky?	38
1027	Co když chci poplatek zaplatit kolky?	38
1028	informace o výši poplatků	38
1029	informace o platbě poukázkou, platbě kauce a platbách do Evropského patentového úřadu	38
1030	Jaké jsou podmínky přijímání dokumentů na podatelně Úřadu?	38
1031	Kde se mohu informovat o provozu podatelny Úřadu?	38
1032	Informace o provozu podatelny	38
1033	formát variabilního symbolu pro platbu poplatků Úřadu	39
1034	Jak je vytvářen variabilní symbol, když je podání odesíláno elektronicky?	39
1035	Jaké pravidla platí pro tvorbu variabilního symbolu pro platbu poplatků?	39
1036	variabilní symbol pro platbu poplatků před Úřadem	39
1037	Kde najdu informace o variabilních symbolech pro platbu poplatků?	39
1038	Kde jsou informace o variabilních symbolech pro platbu poplatků?	39
1039	Kde mohu najít informace o variabilních symbolech pro platbu poplatků?	39
1040	Kde můžu najít informace o variabilních symbolech pro platbu poplatků?	39
1041	Jak je generován variabilní symbol pro platbu poplatků?	39
1042	Jakým způsobem je generován variabilní symbol pro platbu poplatků?	39
1043	Jak  se generuje variabilní symbol pro platbu poplatků?	39
1044	Jakým způsobem se generuje variabilní symbol pro platbu poplatků?	39
1045	tvorba variabilního symbolu pro platbu poplatků	39
1046	variabilní symbol	39
1047	počet míst variabilního symbolu	39
1048	variabilní symbol pro elektronické podání	39
1049	právní předpisy týkající se poplatků	40
1050	právní předpisy ohledně poplatků	40
1051	právní předpisy k poplatkům	40
1052	právní předpisy ke správním poplatkům	40
1053	Jaké předpisy se týkají poplatků?	40
1054	Které předpisy se týkají poplatků?	40
1055	Kde lze najít předpisy týkající se poplatků?	40
1056	Kde najdu předpisy týkající se poplatků?	40
1057	Kde mohu najít předpisy týkající se poplatků?	40
1058	Kde můžu najít předpisy týkající se poplatků?	40
1059	Kde lze najít předpisy ohledně poplatků?	40
1060	Kde najdu předpisy ohledně poplatků?	40
1061	Kde mohu najít předpisy ohledně poplatků?	40
1062	Kde můžu najít předpisy ohledně poplatků?	40
1063	Kde lze najít informace o předpisech k popatkům?	40
1064	Kde najdu informace o předpisech k popatkům?	40
1065	Kde mohu najít informace o předpisech k popatkům?	40
1066	Kde můžu najít informace o předpisech k popatkům?	40
1067	zákony o poplatcích	40
1068	Kde najdu zákony, které se týkají poplatků	40
1069	Jaké právní předpisy upravují poplatky?	40
1070	Jaké právní předpisy regulují poplatky?	40
1071	seznam právních předpisů, které regulují poplatky	40
1072	seznam právních předpisů, které upravují poplatky	40
1073	Jaký je význam průmyslového vzoru?	41
1074	Co je průmyslový vzor?	41
1075	definice průmyslového vzoru	41
1076	Můžete mi vysvětlit pojem průmyslový vzor?	41
1077	můžeš mi vysvětlit pojem průmyslový vzor?	41
1078	Jak se vytváří průmyslový vzor?	41
1079	Jakým způsobem se vytváří průmyslový vzor?	41
1080	Co přesně znamená průmyslový vzor?	41
1081	Co obnáší průmyslový vzor?	41
1082	charakteristiky průmyslového vzoru	41
1083	Jaké vlastnosti má průmyslový vzor?	41
1084	Můžete mi poskytnout definici průmyslového vzoru?	41
1085	můžeš mi poskytnout definici průmyslového vzoru?	41
1086	Můžete mi říct definici průmyslového vzoru?	41
